"year","sftgcode","pt.succ","pt.fail","csp.succ","csp.fail","csp.plot","csp.rumr","pt.s.d","pt.f.d","pt.a.d","csp.s.d","csp.f.d","csp.a.d","cou.s.d","cou.f.d","cou.a.d","pt.tries5d","csp.tries5d","cou.tries5d","pt.glo.t","pt.glo.p","pt.glo.t.ln","csp.glo.t","csp.glo.p","csp.glo.t.ln","cou.glo.t","cou.glo.p","cou.glo.t.ln","pt.reg.t","pt.reg.p","pt.reg.t.ln","csp.reg.t","csp.reg.p","csp.reg.t.ln","cou.reg.t","cou.reg.p","cou.reg.t.ln"
1953,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,3,3.7037037037037,1.38629436111989,3,3.7037037037037,1.38629436111989,3,3.7037037037037,1.38629436111989,0,0,0,0,0,0,0,0,0
1954,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.2289156626506,1.94591014905531,3,3.6144578313253,1.38629436111989,6,7.2289156626506,1.94591014905531,0,0,0,0,0,0,0,0,0
1955,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.02409638554217,1.79175946922805,6,7.2289156626506,1.94591014905531,7,8.43373493975904,2.07944154167984,0,0,0,0,0,0,0,0,0
1956,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.81395348837209,1.79175946922805,4,4.65116279069767,1.6094379124341,7,8.13953488372093,2.07944154167984,0,0,0,2,12.5,1.09861228866811,2,12.5,1.09861228866811
1957,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.81818181818182,1.94591014905531,2,2.27272727272727,1.09861228866811,6,6.81818181818182,1.94591014905531,1,5.88235294117647,0.693147180559945,0,0,0,1,5.88235294117647,0.693147180559945
1958,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10.1123595505618,2.30258509299405,6,6.74157303370786,1.94591014905531,10,11.2359550561798,2.39789527279837,2,11.7647058823529,1.09861228866811,1,5.88235294117647,0.693147180559945,2,11.7647058823529,1.09861228866811
1959,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.61797752808989,1.79175946922805,2,2.24719101123596,1.09861228866811,5,5.61797752808989,1.79175946922805,0,0,0,0,0,0,0,0,0
1960,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9.34579439252336,2.39789527279837,9,8.41121495327103,2.30258509299405,11,10.2803738317757,2.484906649788,2,11.7647058823529,1.09861228866811,2,11.7647058823529,1.09861228866811,2,11.7647058823529,1.09861228866811
1961,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9.09090909090909,2.39789527279837,7,6.36363636363636,2.07944154167984,11,10,2.484906649788,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945
1962,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.48275862068965,2.484906649788,9,7.75862068965517,2.30258509299405,12,10.3448275862069,2.56494935746154,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945
1963,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11.965811965812,2.70805020110221,13,11.1111111111111,2.63905732961526,14,11.965811965812,2.70805020110221,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945,1,5.88235294117647,0.693147180559945
1964,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.04201680672269,1.94591014905531,7,5.88235294117647,2.07944154167984,8,6.72268907563025,2.19722457733622,2,11.7647058823529,1.09861228866811,2,11.7647058823529,1.09861228866811,2,11.7647058823529,1.09861228866811
1965,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.43801652892562,2.30258509299405,9,7.43801652892562,2.30258509299405,9,7.43801652892562,2.30258509299405,3,16.6666666666667,1.38629436111989,3,16.6666666666667,1.38629436111989,3,16.6666666666667,1.38629436111989
1966,"CHN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,2.77258872223978,13,10.4,2.63905732961526,16,12.8,2.83321334405622,2,11.1111111111111,1.09861228866811,2,11.1111111111111,1.09861228866811,2,11.1111111111111,1.09861228866811
1967,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.55555555555556,2.07944154167984,8,6.34920634920635,2.19722457733622,8,6.34920634920635,2.19722457733622,0,0,0,0,0,0,0,0,0
1968,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.42635658914729,2.07944154167984,9,6.97674418604651,2.30258509299405,10,7.75193798449612,2.39789527279837,0,0,0,0,0,0,0,0,0
1969,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7.75193798449612,2.39789527279837,11,8.52713178294574,2.484906649788,13,10.077519379845,2.63905732961526,0,0,0,0,0,0,0,0,0
1970,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.15384615384615,2.19722457733622,11,8.46153846153846,2.484906649788,12,9.23076923076923,2.56494935746154,1,5.26315789473684,0.693147180559945,1,5.26315789473684,0.693147180559945,1,5.26315789473684,0.693147180559945
1971,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.97014925373134,2.19722457733622,9,6.71641791044776,2.30258509299405,10,7.46268656716418,2.39789527279837,0,0,0,1,5.26315789473684,0.693147180559945,1,5.26315789473684,0.693147180559945
1972,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.66666666666667,2.30258509299405,8,5.92592592592593,2.19722457733622,9,6.66666666666667,2.30258509299405,0,0,0,0,0,0,0,0,0
1973,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.14705882352941,2.07944154167984,6,4.41176470588235,1.94591014905531,7,5.14705882352941,2.07944154167984,1,5.26315789473684,0.693147180559945,1,5.26315789473684,0.693147180559945,1,5.26315789473684,0.693147180559945
1974,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.56934306569343,2.30258509299405,10,7.2992700729927,2.39789527279837,11,8.02919708029197,2.484906649788,0,0,0,0,0,0,0,0,0
1975,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9.15492957746479,2.63905732961526,13,9.15492957746479,2.63905732961526,15,10.5633802816901,2.77258872223978,0,0,0,1,5,0.693147180559945,1,5,0.693147180559945
1976,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7.80141843971631,2.484906649788,12,8.51063829787234,2.56494935746154,13,9.21985815602837,2.63905732961526,2,10.5263157894737,1.09861228866811,2,10.5263157894737,1.09861228866811,3,15.7894736842105,1.38629436111989
1977,"CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.63380281690141,2.19722457733622,13,9.15492957746479,2.63905732961526,13,9.15492957746479,2.63905732961526,1,5.26315789473684,0.693147180559945,2,10.5263157894737,1.09861228866811,2,10.5263157894737,1.09861228866811
