country,year,mean,se
LEB,1976,-2.75501130602558,1.2679007110565126
LEB,1977,-4.363653664621701,2.0661391211618074
LEB,1978,-5.6304326744963875,2.3934905027879227
LEB,1979,-6.185486598280662,2.57124549334743
LEB,1980,-6.6942861490418135,2.6544961085687255
LEB,1981,-7.098563018781849,2.151637172683486
LEB,1982,-7.229486871035579,2.202993879600671
LEB,1983,-7.879646350052912,2.3281858722760953
LEB,1984,-8.176426846690726,2.1445116081646596
LEB,1985,-8.235184066653341,2.1947803370278867
LEB,1986,-8.532232171827577,2.2070433901488204
LEB,1987,-8.700507751377224,2.6771986519900444
LEB,1988,-8.58659709033531,3.2378344810298163
LEB,1989,-8.850845052554883,2.909841996523244
LEB,1990,-8.82610480438537,2.8852941842512068
LEB,1991,-8.495033265737051,2.772168877616705
LEB,1992,-8.370509505899626,2.7069000301520063
LEB,1993,-8.258165982405057,2.935075943400685
LEB,1994,-8.305696564269933,2.555143838451715
LEB,1995,-8.154393845777472,2.7216850518535787
LEB,1996,-7.89509676309046,2.600736999217249
LEB,1997,-7.595369181435005,2.4193477938817205
LEB,1998,-7.395317221885486,2.3266278494094728
LEB,1999,-6.843661763707854,2.202887943460708
LEB,2000,-6.432154271122828,2.138080922965864
LEB,2001,-5.839134767204992,2.3706174828062534
LEB,2002,-5.075035742188782,2.160452243074308
LEB,2003,-4.651884986363602,1.7633280070919306
LEB,2004,-3.4406653116049326,1.3107737459039688
LEB,2005,-1.5615887256894965,0.899537014160705
LEB,2006,-1.1566484392258412,0.7355466353286364
LEB,2007,-0.9235890243575848,0.8578478525553637
LEB,2008,-0.608048213883291,0.7733796572375382
LEB,2009,-0.2113604245207779,0.7036440364325428
LEB,2010,0.24473664307010545,0.9588510166696168
LEB,2011,1.3385684059312544,1.3946178744700863
LEB,2012,1.7487397853866267,1.9472315692331172
LEB,2013,2.1328917891669508,1.7217869351186796
LES,1945,-0.9590895294733712,5.7666323003116835
LES,1946,-1.0862408188279944,5.72720309584786
LES,1947,-0.9370689628710183,5.747042966789078
LES,1948,-0.4584779739569931,5.324249288602854
LES,1949,-0.5526809538370107,5.473534361287853
LES,1950,-0.3872727296468079,5.070016361623901
LES,1951,-0.30568843109515115,4.987353036570986
LES,1952,-0.4171221781891951,4.839065548022006
LES,1953,-0.49325138023636567,4.864804068809638
LES,1954,-0.4297934343423465,4.500822939870842
LES,1955,-0.4717697837954394,4.499733379995038
LES,1956,-0.680351982074164,4.174082974237527
LES,1957,-0.7479595045033917,3.82889521549348
LES,1958,-0.7169292534598217,3.243061795183362
LES,1959,-0.4935497447800666,2.9812181563734232
LES,1960,-0.47743973690776903,2.993659346482669
LES,1961,-0.3057915910270778,2.833833089061114
LES,1962,0.019462393881570225,2.615286198032285
LES,1963,0.12891305542349507,1.9872114395291682
LES,1964,0.12881144518195137,1.9394389115372974
LES,1965,-0.35711860287235614,1.4841147072309675
LES,1966,-0.2594893026856809,0.8027347111921582
LES,1967,-0.4668598545659785,0.996965945022068
LES,1968,-0.6767607958462323,0.8215721262875784
LES,1969,-1.025228874413912,1.0524653922543616
LES,1970,-2.812776976727224,1.4056856364739663
LES,1971,-4.13735911750964,1.6542148573933546
LES,1972,-5.1365603220840725,1.5970505099671288
LES,1973,-6.115649995893641,2.046957520590415
LES,1974,-6.572936235309361,2.0168619943728356
LES,1975,-6.71643614514182,2.308644095401501
LES,1976,-7.088656726959967,2.4047219782215215
LES,1977,-7.14479663827537,2.2093495425969
LES,1978,-7.1372093198171145,2.2549571959856047
LES,1979,-7.559297514808813,2.5943732638270403
LES,1980,-7.35002079858317,2.791593298895207
LES,1981,-7.498461345799237,2.7150318177997255
